enabled,priority_rank,source_origin,source_type,source_ref,source_title,source_language,author_name,channel_url,description,keywords,published,published_at,published_post_ids
true,87,kcoc_shorts,short,https://www.youtube.com/shorts/xULTrbBhA-Y,Лафхак всім хлопцям про дівчат #ксос #кцх,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,88,kcoc_shorts,short,https://www.youtube.com/shorts/03Vu9B0V1YA,Бог закладає принцип майбутніх поколінь. #ксос #кцх #kievchurch #kcoc #kcocua,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,89,kcoc_shorts,short,https://www.youtube.com/shorts/2TuSvkWfZg0,"25.02.23, 13:00 / Запрошення на семінар для молоді про стосунки",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,90,kcoc_shorts,short,https://www.youtube.com/shorts/gym_inIvuoI,"Запрошуємо на семінар для молоді / 11.02.23, 13:00",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,91,kcoc_shorts,short,https://www.youtube.com/shorts/wVW7K1utz18,Святой Дух соединяет Творца и Его творение #ксосua #кцх #shorts,ru,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,92,kcoc_shorts,short,https://www.youtube.com/shorts/ABGzgzbt_EI,Камон! ✌️Вчора затусили підлітки. 🤓 #kievchurch #ксосua #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,93,kcoc_shorts,short,https://www.youtube.com/shorts/XjNdbhnA7Xo,"Запрошення на семінар для молоді про стосунки / 28.01.23, 13:00",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,94,kcoc_shorts,short,https://www.youtube.com/shorts/7sGMtev_IGQ,Молодіжне зібрання / 21.01.23 @kcoc,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,1,odesa_videos,video,https://www.youtube.com/watch?v=c0C6I1JcD1Q,Причини по которым ваши планы рушатся. Неужели Бог иногда ПРЕПЯТСТВУЕТ вашим планам?,ru,Odesa Church,https://www.youtube.com/@OdesaChurch/videos,,,,,
true,2,odesa_videos,video,https://www.youtube.com/watch?v=EbjBsl76C4s,"ОШИБКА, которую совершают все при поиске Бога",ru,Odesa Church,https://www.youtube.com/@OdesaChurch/videos,,,,,
true,3,odesa_videos,video,https://www.youtube.com/watch?v=rM0uVYmALG0,Почему старые методы больше не работают? Твои стереотипы блокируют Божье чудо!,ru,Odesa Church,https://www.youtube.com/@OdesaChurch/videos,,,,,
true,4,odesa_videos,video,https://www.youtube.com/watch?v=WTpkvkvNNlY,Как слышать голос Бога,ru,Odesa Church,https://www.youtube.com/@OdesaChurch/videos,,,,,
true,5,odesa_videos,video,https://www.youtube.com/watch?v=1-k7iHfhcXk,Как превратить земные деньги в небесный капитал,ru,Odesa Church,https://www.youtube.com/@OdesaChurch/videos,,,,,
true,6,odesa_videos,video,https://www.youtube.com/watch?v=mDWS2AQRQ_4,Код Апокаліпсису: три події перед фіналом.,uk,Odesa Church,https://www.youtube.com/@OdesaChurch/videos,,,,,
true,7,odesa_videos,video,https://www.youtube.com/watch?v=BDFx34_Sq6o,Неужели большинство проповедей похожие?! Ради чего тогда их слушать?,uk,Odesa Church,https://www.youtube.com/@OdesaChurch/videos,,,,,
